StateID,StateName,DRG,AverageCost
MD,Maryland,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,48257
OR,Oregon,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,47605
HI,Hawaii,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,46750
DC,District of Columbia,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,46748
DE,Delaware,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,46697
DE,Delaware,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,46534
OR,Oregon,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,46517
OR,Oregon,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,46480
HI,Hawaii,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,46451
WI,Wisconsin,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,46341
MN,Minnesota,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,46305
NH,New Hampshire,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,46187
RI,Rhode Island,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,46186
ID,Idaho,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,46131
MN,Minnesota,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,46069
NM,New Mexico,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,45562
SD,South Dakota,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,45473
CO,Colorado,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,45454
UT,Utah,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,45332
ME,Maine,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,45274
VT,Vermont,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,45255
SD,South Dakota,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,45150
NM,New Mexico,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,45032
CT,Connecticut,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,45015
NJ,New Jersey,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,44748
NY,New York,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,44436
CT,Connecticut,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,44305
AZ,Arizona,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,44276
KS,Kansas,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,44126
VT,Vermont,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,43904
MA,Massachusetts,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,43499
MD,Maryland,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,43454
NV,Nevada,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,43381
WA,Washington,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,43280
MD,Maryland,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,43092
WA,Washington,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,42704
NV,Nevada,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,42563
WI,Wisconsin,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,42507
NE,Nebraska,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,42289
SD,South Dakota,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,42249
PA,Pennsylvania,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,42113
MA,Massachusetts,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,41887
NJ,New Jersey,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,41740
CT,Connecticut,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,41583
MI,Michigan,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,41363
RI,Rhode Island,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,41286
WA,Washington,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,41212
CO,Colorado,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,41169
UT,Utah,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,41139
NH,New Hampshire,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,40940
MN,Minnesota,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,40819
ID,Idaho,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,40776
DE,Delaware,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,40755
NV,Nevada,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,40689
NC,North Carolina,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,40689
ME,Maine,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,40424
AK,Alaska,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,40284
ME,Maine,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,40261
OK,Oklahoma,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,40226
IL,Illinois,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,40175
GA,Georgia,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,40141
TX,Texas,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,40100
IA,Iowa,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39998
KY,Kentucky,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39948
SC,South Carolina,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,39857
ND,North Dakota,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39846
WV,West Virginia,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39805
NJ,New Jersey,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,39748
UT,Utah,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,39719
IN,Indiana,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39714
VA,Virginia,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39676
SC,South Carolina,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,39664
NV,Nevada,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,39413
RI,Rhode Island,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,39413
MO,Missouri,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39343
WI,Wisconsin,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,39314
MA,Massachusetts,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,39264
MD,Maryland,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,39239
MI,Michigan,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,38773
AZ,Arizona,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,38756
SD,South Dakota,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,38700
SC,South Carolina,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,38687
OH,Ohio,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,38609
UT,Utah,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,38502
NM,New Mexico,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,38495
FL,Florida,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,38393
RI,Rhode Island,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,38361
NE,Nebraska,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,38356
WY,Wyoming,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,38214
WI,Wisconsin,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,38010
AZ,Arizona,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,38004
IL,Illinois,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,37926
MI,Michigan,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,37926
KS,Kansas,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,37880
IL,Illinois,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,37839
NJ,New Jersey,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,37752
GA,Georgia,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,37745
IL,Illinois,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,37536
CO,Colorado,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,37455
NE,Nebraska,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,37342
TN,Tennessee,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,37338
OK,Oklahoma,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,37271
AZ,Arizona,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,37188
TX,Texas,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,37056
DE,Delaware,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,36786
MS,Mississippi,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,36732
ID,Idaho,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36712
PA,Pennsylvania,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,36675
NH,New Hampshire,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,36589
VA,Virginia,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,36566
VA,Virginia,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36563
MO,Missouri,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36492
MI,Michigan,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,36454
IA,Iowa,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,36338
NC,North Carolina,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36292
LA,Louisiana,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,36289
MS,Mississippi,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36277
SC,South Carolina,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,36269
MT,Montana,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36179
TX,Texas,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,36161
PA,Pennsylvania,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36046
MS,Mississippi,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,36002
GA,Georgia,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,35722
AL,Alabama,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,35715
VA,Virginia,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,35714
HI,Hawaii,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,35648
GA,Georgia,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,35619
OH,Ohio,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,35529
FL,Florida,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,35480
IN,Indiana,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,35464
KS,Kansas,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,35451
KY,Kentucky,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,35434
ME,Maine,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,35389
NC,North Carolina,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,35314
WY,Wyoming,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,35312
PA,Pennsylvania,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,35238
AR,Arkansas,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,35228
CO,Colorado,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,35185
NC,North Carolina,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,35168
LA,Louisiana,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,35135
ID,Idaho,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,35000
WV,West Virginia,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,34930
MS,Mississippi,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,34810
MO,Missouri,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,34746
OK,Oklahoma,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,34715
OK,Oklahoma,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,34709
MO,Missouri,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,34674
ND,North Dakota,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,34601
ND,North Dakota,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,34431
TX,Texas,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,34238
OH,Ohio,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,34225
FL,Florida,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,34148
KS,Kansas,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,33719
FL,Florida,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,33527
NM,New Mexico,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,33519
IA,Iowa,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,33425
TN,Tennessee,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,33365
KY,Kentucky,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,33264
IN,Indiana,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,33026
TN,Tennessee,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,33005
KY,Kentucky,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,32983
IN,Indiana,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,32968
TN,Tennessee,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,32806
WV,West Virginia,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,32793
LA,Louisiana,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,32780
AL,Alabama,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,32654
CA,California,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,32552
ND,North Dakota,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,32478
NE,Nebraska,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,32464
VT,Vermont,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,32411
OH,Ohio,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,32231
AR,Arkansas,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,31975
WA,Washington,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,31892
IA,Iowa,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,31882
AR,Arkansas,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,31879
LA,Louisiana,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,31879
DC,District of Columbia,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,31812
WV,West Virginia,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,31785
MA,Massachusetts,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,31621
AL,Alabama,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,31551
AR,Arkansas,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,31475
CT,Connecticut,252 - OTHER VASCULAR PROCEDURES W MCC,31327
AL,Alabama,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,31293
SD,South Dakota,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,31166
MT,Montana,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,31075
NY,New York,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,31039
MT,Montana,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,31038
AK,Alaska,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,30857
CT,Connecticut,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,30760
CO,Colorado,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,30645
MD,Maryland,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,30626
WY,Wyoming,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,30489
MD,Maryland,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,30282
DC,District of Columbia,252 - OTHER VASCULAR PROCEDURES W MCC,30041
MD,Maryland,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,29988
IN,Indiana,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,29811
AK,Alaska,252 - OTHER VASCULAR PROCEDURES W MCC,29750
AK,Alaska,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,29606
NM,New Mexico,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,29154
IL,Illinois,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,29111
MA,Massachusetts,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,29050
NY,New York,252 - OTHER VASCULAR PROCEDURES W MCC,29019
NY,New York,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,28849
NJ,New Jersey,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,28769
VT,Vermont,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,28758
CT,Connecticut,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,28645
CA,California,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,28632
VT,Vermont,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,28554
AK,Alaska,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,28425
RI,Rhode Island,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,28367
NY,New York,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,28322
OR,Oregon,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,28260
MD,Maryland,252 - OTHER VASCULAR PROCEDURES W MCC,28168
NH,New Hampshire,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,28043
NV,Nevada,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,27989
CA,California,252 - OTHER VASCULAR PROCEDURES W MCC,27939
HI,Hawaii,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,27744
VT,Vermont,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,27732
CA,California,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,27661
AZ,Arizona,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,27529
CA,California,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,27332
VT,Vermont,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,27294
DC,District of Columbia,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,27272
MI,Michigan,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,27209
WI,Wisconsin,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,27149
VA,Virginia,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,27098
NY,New York,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,27023
DC,District of Columbia,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,27019
MN,Minnesota,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,27014
TX,Texas,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26928
AK,Alaska,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,26864
VT,Vermont,252 - OTHER VASCULAR PROCEDURES W MCC,26837
MO,Missouri,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26768
SC,South Carolina,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26737
RI,Rhode Island,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,26727
GA,Georgia,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26675
MA,Massachusetts,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,26600
UT,Utah,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26587
DE,Delaware,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26428
NJ,New Jersey,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,26368
RI,Rhode Island,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,26314
MT,Montana,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26302
LA,Louisiana,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26220
ME,Maine,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26198
HI,Hawaii,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,26153
MA,Massachusetts,252 - OTHER VASCULAR PROCEDURES W MCC,26014
NC,North Carolina,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,26005
OH,Ohio,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,25986
WV,West Virginia,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,25957
CA,California,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,25876
HI,Hawaii,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,25821
CT,Connecticut,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,25651
